"","year","player_name","ranking","top_10","wins","score_average","rounds","bounce_back","driving_accuracy","driving_distance","par5_SA","gir","hole_proximity","putts_round","scramble","sg_t2g","sg_total"
"458",2017,"Kris Ventura","79",2,0,71.767,52,23.17,59.53,304.4,4.54,63.57,"1,854.000",28.4,55.13,-0.447,-0.057
"459",2018,"Kris Ventura","79",2,0,71.767,52,23.17,59.53,304.4,4.54,63.57,"1,854.000",28.4,55.13,-0.447,-0.057
"460",2019,"Kris Ventura","79",2,0,71.767,52,23.17,59.53,304.4,4.54,63.57,"1,854.000",28.4,55.13,-0.447,-0.057
"461",2016,"Kyle Stanley","154",1,0,71.602,60,23.84,63.21,292.4,4.66,69.17,"1,896.917",29.42,59.76,0.568,-0.262
"462",2017,"Kyle Stanley","154",1,0,71.602,60,23.84,63.21,292.4,4.66,69.17,"1,896.917",29.42,59.76,0.568,-0.262
"463",2018,"Kyle Stanley","154",1,0,71.602,60,23.84,63.21,292.4,4.66,69.17,"1,896.917",29.42,59.76,0.568,-0.262
"464",2019,"Kyle Stanley","154",1,0,71.602,60,23.84,63.21,292.4,4.66,69.17,"1,896.917",29.42,59.76,0.568,-0.262
"465",2016,"Kyoung-Hoon Lee","T91",1,0,71.545,64,20,58.5,297.2,4.59,63.02,"2,731.000",28.09,59.86,0.136,-0.078
"466",2017,"Kyoung-Hoon Lee","T91",1,0,71.545,64,20,58.5,297.2,4.59,63.02,"2,731.000",28.09,59.86,0.136,-0.078
"467",2018,"Kyoung-Hoon Lee","T91",1,0,71.545,64,20,58.5,297.2,4.59,63.02,"2,731.000",28.09,59.86,0.136,-0.078
"468",2019,"Kyoung-Hoon Lee","T91",1,0,71.545,64,20,58.5,297.2,4.59,63.02,"2,731.000",28.09,59.86,0.136,-0.078
"469",2016,"Lanto Griffin","77",2,0,70.946,61,25.15,55.94,303.1,4.54,65.71,"2,497.667",28.55,58.66,0.12,0.753
"470",2017,"Lanto Griffin","77",2,0,70.946,61,25.15,55.94,303.1,4.54,65.71,"2,497.667",28.55,58.66,0.12,0.753
"471",2018,"Lanto Griffin","77",2,0,70.946,61,25.15,55.94,303.1,4.54,65.71,"2,497.667",28.55,58.66,0.12,0.753
"472",2019,"Lanto Griffin","77",2,0,70.946,61,25.15,55.94,303.1,4.54,65.71,"2,497.667",28.55,58.66,0.12,0.753
"473",2016,"Lee Westwood","T201",2,0,71.242,35,17.92,60.76,295,4.66,62.67,"1,590.583",29.22,54.88,0.064,0.29
"474",2017,"Lee Westwood","T201",2,0,71.242,35,17.92,60.76,295,4.66,62.67,"1,590.583",29.22,54.88,0.064,0.29
"475",2018,"Lee Westwood","T201",2,0,71.242,35,17.92,60.76,295,4.66,62.67,"1,590.583",29.22,54.88,0.064,0.29
"476",2019,"Lee Westwood","T201",2,0,71.242,35,17.92,60.76,295,4.66,62.67,"1,590.583",29.22,54.88,0.064,0.29
